,S1,O1,S2,O2,S3,O3,S4,O4,S5,O5,S6,O6,S7,O7,S8,O8,S9,O9,S10,O10
Eastern,8,4,11,7,4,3,7,9,11,6,12,6,12,10,17,8,8,10,10,11
Neumann,5,6,11,8,11,4,7,6,8,6,12,4,12,6,4,7,6,8,10,21
TCNJ,4,5,8,10,7,10,13,7,12,9,11,10,4,2,7,7,8,6,14,15
Stockton,8,5,11,5,8,9,9,5,9,6,5,9,4,4,10,3,8,2,10,6
Washington,8,7,0,13,5,6,7,3,8,7,4,4,10,2,6,1,8,9,12,4
Arcadia,8,6,10,3,8,11,11,5,7,7,9,5,5,4,8,2,13,10,10,13
Ursinus,10,7,8,2,6,10,7,11,11,13,3,9,10,8,12,5,13,9,8,10
Gettysburg,12,2,7,2,13,11,8,11,8,2,9,8,16,7,9,5,8,9,5,9
Johns Hopkins,6,5,4,10,9,3,8,2,7,7,7,5,3,6,7,4,6,5,10,15
Rochester,8,2,2,8,10,6,5,2,4,5,7,6,3,5,7,10,5,7,8,5
Stevens,8,2,7,11,15,9,5,8,6,9,12,5,3,6,6,3,3,3,9,15
Muhlenburg,9,7,10,3,8,8,3,8,11,6,8,8,7,7,7,9,13,7,9,11
F&M,2,2,7,0,2,7,10,2,8,4,3,8,10,1,11,11,4,5,11,13
Haverford,11,2,2,7,10,7,13,3,6,9,6,2,6,3,3,5,9,8,5,7
Dickinson,6,9,4,4,10,2,11,4,10,5,5,10,8,10,12,7,6,8,9,4
Ursinus,6,0,4,12,6,6,10,6,10,9,8,11,2,9,9,7,10,8,14,8
McDaniel,7,4,2,4,2,6,6,5,9,2,12,4,15,7,7,6,9,3,11,3
Washington,4,4,9,6,2,6,8,5,4,11,8,6,8,7,12,7,6,9,12,5
Gettysburg,8,14,10,9,5,0,3,4,6,7,9,6,6,9,7,6,10,8,10,9
Muhlenberg,2,6,9,7,8,4,9,4,3,8,13,7,10,5,10,4,8,9,3,8
F&M,6,6,7,4,11,9,9,6,9,7,6,9,5,4,9,5,9,11,14,6
Johns Hopkins,10,7,4,12,9,5,14,7,4,5,13,5,6,2,5,11,7,7,11,8
Dickinson,9,7,7,5,8,12,8,15,8,0,11,2,7,7,13,5,15,12,6,4
Haverford,6,9,5,4,11,9,9,6,8,11,10,6,12,6,6,8,6,5,13,9
McDaniel,16,2,2,2,8,3,8,4,10,5,11,6,6,6,6,4,5,3,7,7
Muhlenberg,7,5,5,7,11,11,5,11,8,1,7,6,5,7,4,3,4,2,9,9
Johns Hopkins,6,8,7,7,10,7,9,10,9,6,6,8,6,9,9,2,3,3,6,9
Brooklyn,9,3,8,5,13,3,5,8,8,4,12,6,8,6,5,7,11,0,6,9
Ithaca,12,10,13,9,2,13,7,5,10,7,9,7,5,5,6,6,9,5,11,11
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Total,221,156,194,186,232,200,234,182,232,184,248,188,214,170,234,168,230,191,273,264
Median,8,5,7,7,8,7,8,6,8,6,9,6,6,6,7,6,8,7,10,9
Mean,7.620689655,5.379310345,6.689655172,6.413793103,8,6.896551724,8.068965517,6.275862069,8,6.344827586,8.551724138,6.482758621,7.379310345,5.862068966,8.068965517,5.793103448,7.931034483,6.586206897,9.413793103,9.103448276
,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,
Rounds,19,7,16,10,16,10,19,10,18,9,20,7,16,8,19,7,17,10,12,14
,,,,,,,,,,,,,,,,,,,,
,Overall: 172-92-26 (.593),,,,,,,,,,,,,,,,,,,
